연도,개최국,경기수,골수,경기당 득점수,득점왕(골수)
1,1930,우루과이,18,70,3.88,"기예르모 스타빌레(아르헨티나, 8골)"
2,1934,이탈리아,17,70,4.11,"올드르지흐 네예들리(체코슬로바키아, 5골)"
3,1938,프랑스,18,84,4.66,"레오니다스 다시우바(브라질, 7골)"
4,1950,브라질,22,88,4.00,"아데미르(브라질, 8골)"
5,1954,스위스,26,140,5.38[38],"산도르 코츠시스(헝가리, 11골)"
6,1958,스웨덴,35,126,3.60,"쥐스트 퐁텐(프랑스, 13골)"
7,1962,칠레,32,89,2.78,"가린샤(브라질) 바바(브라질) 리오넬 산체스(칠레) 플로리안 알베르트(헝가리) 발렌틴 이바노프(소련) 드라찬 예르코비치(유고슬라비아, 4골)"
8,1966,잉글랜드,32,89,2.78,"에우제비우(포르투갈, 9골)"
9,1970,멕시코,32,95,2.96,"게르트 뮐러(서독, 10골)"
10,1974,서독,38,97,2.55,"그제고시 라토(폴란드, 7골)"
11,1978,아르헨티나,38,102,2.68,"마리오 켐페스(아르헨티나, 6골)"
12,1982,스페인,51,146,2.86,"파올로 로시(이탈리아, 6골)"
13,1986,멕시코,52,132,2.53,"게리 리네커(잉글랜드, 6골)"
14,1990,이탈리아,52,115,2.21[39],"살바토레 스킬라치(이탈리아, 6골)"
15,1994,미국,52,141,2.71,"올레그 살렌코(러시아) 흐리스토 스토이치코프(불가리아, 6골)"
16,1998,프랑스,64,171,2.67,"다보르 슈케르(크로아티아, 6골)"
17,2002,대한민국/일본,64,161,2.51,"호나우두(브라질, 8골)"
18,2006,독일,64,147,2.29,"미로슬라프 클로제(독일, 5골)"
19,2010,남아공,64,145,2.26,"토마스 뮐러(독일, 5골)[40]"
20,2014,브라질,64,171,2.67,"하메스 로드리게스(콜롬비아, 6골)"
21,2018,러시아,64,169,2.64,"해리 케인(잉글랜드, 6골)"
22,2022,카타르,64,172,2.69,"킬리안 음바페(프랑스, 8골)"
23,2026,캐나다/멕시코/미국,104,,,
